                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46566,                0.91736,                      1,                0.44767,              0.0002364,              0.0002364,              0.0002364
                      2,                0.26421,                0.92562,                      1,                0.39297,             0.00046971,             0.00046971,             0.00046971
                      3,                0.23562,                0.94215,                      1,                0.38318,              0.0006983,              0.0006983,              0.0006983
                      4,                0.21702,                0.93113,                      1,                0.36877,             0.00069279,             0.00069279,             0.00069279
                      5,                0.19836,                0.93664,                      1,                0.37151,             0.00069279,             0.00069279,             0.00069279
                      6,                0.17902,                0.96694,                      1,                0.36024,             0.00068573,             0.00068573,             0.00068573
                      7,                0.15974,                0.96143,                      1,                0.36032,             0.00067866,             0.00067866,             0.00067866
                      8,                0.17249,                0.92837,                      1,                 0.3918,             0.00067159,             0.00067159,             0.00067159
                      9,                0.15635,                0.95868,                      1,                0.35336,             0.00066452,             0.00066452,             0.00066452
                     10,                0.16822,                0.96143,                      1,                0.35385,             0.00065745,             0.00065745,             0.00065745
                     11,                0.15158,                 0.9697,                      1,                0.35072,             0.00065038,             0.00065038,             0.00065038
                     12,                0.15584,                0.96694,                      1,                0.35314,             0.00064331,             0.00064331,             0.00064331
                     13,                0.14808,                0.96419,                      1,                0.34784,             0.00063625,             0.00063625,             0.00063625
                     14,                0.13944,                0.96694,                      1,                0.34962,             0.00062918,             0.00062918,             0.00062918
                     15,                0.12225,                0.96143,                      1,                0.35116,             0.00062211,             0.00062211,             0.00062211
                     16,                0.12852,                 0.9449,                      1,                0.36511,             0.00061504,             0.00061504,             0.00061504
                     17,                0.12674,                0.96419,                      1,                0.34967,             0.00060797,             0.00060797,             0.00060797
                     18,                0.13493,                0.96143,                      1,                0.35558,              0.0006009,              0.0006009,              0.0006009
                     19,                0.13006,                0.95868,                      1,                0.35352,             0.00059383,             0.00059383,             0.00059383
                     20,                0.11462,                0.95592,                      1,                0.35397,             0.00058677,             0.00058677,             0.00058677
                     21,                0.11155,                0.94766,                      1,                0.35972,              0.0005797,              0.0005797,              0.0005797
                     22,                0.11276,                 0.9697,                      1,                  0.352,             0.00057263,             0.00057263,             0.00057263
                     23,                0.11668,                0.94766,                      1,                0.35805,             0.00056556,             0.00056556,             0.00056556
                     24,                0.09714,                0.96419,                      1,                0.34913,             0.00055849,             0.00055849,             0.00055849
                     25,                0.10367,                0.96143,                      1,                0.34927,             0.00055142,             0.00055142,             0.00055142
                     26,                0.09896,                0.95592,                      1,                0.35507,             0.00054435,             0.00054435,             0.00054435
                     27,                0.10328,                0.95592,                      1,                0.35466,             0.00053728,             0.00053728,             0.00053728
                     28,                0.09594,                0.95041,                      1,                0.35206,             0.00053022,             0.00053022,             0.00053022
                     29,                0.09794,                0.95317,                      1,                0.35051,             0.00052315,             0.00052315,             0.00052315
                     30,                0.09048,                0.95592,                      1,                0.35832,             0.00051608,             0.00051608,             0.00051608
                     31,                0.09295,                0.94215,                      1,                0.35793,             0.00050901,             0.00050901,             0.00050901
                     32,                0.09971,                0.95592,                      1,                0.35988,             0.00050194,             0.00050194,             0.00050194
                     33,                0.08727,                0.94766,                      1,                0.35972,             0.00049487,             0.00049487,             0.00049487
                     34,                0.08716,                0.96419,                      1,                 0.3532,              0.0004878,              0.0004878,              0.0004878
                     35,                0.08324,                0.95868,                      1,                0.36946,             0.00048074,             0.00048074,             0.00048074
                     36,                0.08585,                0.94215,                      1,                 0.3629,             0.00047367,             0.00047367,             0.00047367
                     37,                0.08266,                0.95041,                      1,                0.36132,              0.0004666,              0.0004666,              0.0004666
                     38,                0.08781,                 0.9449,                      1,                0.36147,             0.00045953,             0.00045953,             0.00045953
                     39,                0.07508,                0.95041,                      1,                0.35976,             0.00045246,             0.00045246,             0.00045246
                     40,                0.08144,                0.94215,                      1,                0.36496,             0.00044539,             0.00044539,             0.00044539
                     41,                 0.0767,                0.95041,                      1,                0.36342,             0.00043832,             0.00043832,             0.00043832
                     42,                0.07661,                0.95041,                      1,                0.35831,             0.00043126,             0.00043126,             0.00043126
                     43,                0.06603,                0.94766,                      1,                  0.358,             0.00042419,             0.00042419,             0.00042419
                     44,                0.07391,                0.94215,                      1,                0.36476,             0.00041712,             0.00041712,             0.00041712
                     45,                0.07568,                0.95317,                      1,                0.36016,             0.00041005,             0.00041005,             0.00041005
                     46,                 0.0822,                0.94215,                      1,                0.36784,             0.00040298,             0.00040298,             0.00040298
                     47,                0.06566,                0.94215,                      1,                0.36931,             0.00039591,             0.00039591,             0.00039591
                     48,                0.07199,                 0.9449,                      1,                0.36521,             0.00038884,             0.00038884,             0.00038884
                     49,                0.06774,                0.94215,                      1,                0.38103,             0.00038178,             0.00038178,             0.00038178
                     50,                0.07492,                0.94766,                      1,                0.36461,             0.00037471,             0.00037471,             0.00037471
                     51,                0.07053,                0.93939,                      1,                0.36759,             0.00036764,             0.00036764,             0.00036764
                     52,                 0.0613,                0.93664,                      1,                0.37301,             0.00036057,             0.00036057,             0.00036057
                     53,                0.06962,                0.93388,                      1,                0.36784,              0.0003535,              0.0003535,              0.0003535
                     54,                 0.0633,                0.94215,                      1,                0.37315,             0.00034643,             0.00034643,             0.00034643
                     55,                0.07143,                0.93939,                      1,                0.36458,             0.00033936,             0.00033936,             0.00033936
                     56,                0.07407,                0.93664,                      1,                0.37384,              0.0003323,              0.0003323,              0.0003323
                     57,                0.06707,                0.93388,                      1,                0.38006,             0.00032523,             0.00032523,             0.00032523
                     58,                0.06405,                0.94215,                      1,                0.36607,             0.00031816,             0.00031816,             0.00031816
                     59,                0.06062,                0.93664,                      1,                0.37958,             0.00031109,             0.00031109,             0.00031109
                     60,                0.05269,                0.94766,                      1,                0.36945,             0.00030402,             0.00030402,             0.00030402
                     61,                0.05463,                0.94215,                      1,                0.36475,             0.00029695,             0.00029695,             0.00029695
                     62,                0.04599,                0.93939,                      1,                  0.369,             0.00028988,             0.00028988,             0.00028988
                     63,                0.05361,                0.93664,                      1,                0.36892,             0.00028282,             0.00028282,             0.00028282
                     64,                0.05827,                0.93388,                      1,                0.36731,             0.00027575,             0.00027575,             0.00027575
                     65,                0.05813,                 0.9449,                      1,                0.36232,             0.00026868,             0.00026868,             0.00026868
                     66,                0.04685,                0.95041,                      1,                0.35926,             0.00026161,             0.00026161,             0.00026161
                     67,                0.05197,                0.94215,                      1,                0.36881,             0.00025454,             0.00025454,             0.00025454
                     68,                0.05259,                 0.9449,                      1,                0.36593,             0.00024747,             0.00024747,             0.00024747
                     69,                0.05452,                0.95317,                      1,                 0.3576,              0.0002404,              0.0002404,              0.0002404
                     70,                 0.0539,                0.95317,                      1,                0.35925,             0.00023334,             0.00023334,             0.00023334
                     71,                 0.0535,                0.95041,                      1,                0.36126,             0.00022627,             0.00022627,             0.00022627
                     72,                 0.0449,                0.94215,                      1,                 0.3612,              0.0002192,              0.0002192,              0.0002192
                     73,                0.04386,                 0.9449,                      1,                0.36786,             0.00021213,             0.00021213,             0.00021213
                     74,                0.04875,                 0.9449,                      1,                0.36335,             0.00020506,             0.00020506,             0.00020506
                     75,                0.05565,                0.94215,                      1,                0.36609,             0.00019799,             0.00019799,             0.00019799
                     76,                0.04135,                0.94215,                      1,                0.36858,             0.00019092,             0.00019092,             0.00019092
                     77,                0.03792,                 0.9449,                      1,                0.36318,             0.00018385,             0.00018385,             0.00018385
                     78,                0.05481,                 0.9449,                      1,                0.36587,             0.00017679,             0.00017679,             0.00017679
                     79,                0.04051,                 0.9449,                      1,                0.35769,             0.00016972,             0.00016972,             0.00016972
                     80,                0.04163,                0.94766,                      1,                0.35703,             0.00016265,             0.00016265,             0.00016265
                     81,                0.05052,                 0.9449,                      1,                0.36104,             0.00015558,             0.00015558,             0.00015558
                     82,                0.04569,                0.94766,                      1,                0.36319,             0.00014851,             0.00014851,             0.00014851
                     83,                0.03814,                 0.9449,                      1,                0.36188,             0.00014144,             0.00014144,             0.00014144
                     84,                0.03996,                0.94215,                      1,                0.37297,             0.00013437,             0.00013437,             0.00013437
                     85,                0.03993,                0.93939,                      1,                0.36431,             0.00012731,             0.00012731,             0.00012731
                     86,                0.03776,                0.93939,                      1,                0.37616,             0.00012024,             0.00012024,             0.00012024
                     87,                 0.0323,                0.93388,                      1,                0.37315,             0.00011317,             0.00011317,             0.00011317
                     88,                 0.0364,                0.94215,                      1,                0.36573,              0.0001061,              0.0001061,              0.0001061
