                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45248,                0.91185,                      1,                0.41938,              0.0002364,              0.0002364,              0.0002364
                      2,                0.26543,                0.90909,                      1,                0.44765,             0.00042744,             0.00042744,             0.00042744
                      3,                0.22741,                0.93664,                      1,                0.38769,             0.00057135,             0.00057135,             0.00057135
                      4,                0.21049,                0.93939,                      1,                0.37664,             0.00050194,             0.00050194,             0.00050194
                      5,                0.19469,                0.95041,                      1,                0.37842,             0.00050194,             0.00050194,             0.00050194
                      6,                0.18902,                0.93113,                      1,                 0.3883,             0.00043126,             0.00043126,             0.00043126
                      7,                0.17833,                 0.9449,                      1,                0.37914,             0.00036057,             0.00036057,             0.00036057
                      8,                0.15379,                0.94766,                      1,                0.37697,             0.00028988,             0.00028988,             0.00028988
                      9,                0.15978,                 0.9449,                      1,                0.36735,              0.0002192,              0.0002192,              0.0002192
                     10,                 0.1503,                0.95592,                      1,                0.36756,             0.00014851,             0.00014851,             0.00014851
