                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25414,                0.98607,                      1,                0.37263,             0.00023751,             0.00023751,             0.00023751
                      2,                0.10572,                 0.9911,                      1,                0.32628,             0.00042843,             0.00042843,             0.00042843
                      3,                0.09991,                0.99303,                      1,                0.33925,             0.00057223,             0.00057223,             0.00057223
                      4,                0.09077,                0.99149,                      1,                0.33226,             0.00050194,             0.00050194,             0.00050194
                      5,                0.08606,                0.99265,                      1,                0.32507,             0.00050194,             0.00050194,             0.00050194
                      6,                0.07747,                0.99497,                      1,                0.32237,             0.00043126,             0.00043126,             0.00043126
                      7,                0.07496,                 0.9942,                      1,                0.32667,             0.00036057,             0.00036057,             0.00036057
                      8,                0.06934,                0.99381,                      1,                 0.3216,             0.00028988,             0.00028988,             0.00028988
                      9,                0.06339,                0.99497,                      1,                0.32249,              0.0002192,              0.0002192,              0.0002192
                     10,                0.06267,                0.99381,                      1,                0.32144,             0.00014851,             0.00014851,             0.00014851
