                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71682,                0.64662,                      1,                0.60749,              0.0002319,              0.0002319,              0.0002319
                      2,                0.59034,                0.60902,                      1,                 0.6091,             0.00046059,             0.00046059,             0.00046059
                      3,                0.51029,                0.60902,                      1,                0.62608,             0.00067986,             0.00067986,             0.00067986
                      4,                0.44291,                0.86466,                      1,                0.47112,             0.00067159,             0.00067159,             0.00067159
                      5,                0.41398,                0.92481,                      1,                0.45478,             0.00067159,             0.00067159,             0.00067159
                      6,                 0.4153,                0.89474,                      1,                0.47088,             0.00065745,             0.00065745,             0.00065745
                      7,                0.38517,                0.90226,                      1,                0.46068,             0.00064331,             0.00064331,             0.00064331
                      8,                0.36044,                0.92481,                      1,                0.46057,             0.00062918,             0.00062918,             0.00062918
                      9,                0.32713,                0.94737,                      1,                0.39449,             0.00061504,             0.00061504,             0.00061504
                     10,                  0.298,                0.93985,                      1,                0.38954,              0.0006009,              0.0006009,              0.0006009
                     11,                 0.2952,                0.93985,                      1,                0.39652,             0.00058677,             0.00058677,             0.00058677
                     12,                0.29196,                0.93985,                      1,                0.36676,             0.00057263,             0.00057263,             0.00057263
                     13,                0.27155,                0.92481,                      1,                0.40231,             0.00055849,             0.00055849,             0.00055849
                     14,                0.24209,                0.93985,                      1,                0.36552,             0.00054435,             0.00054435,             0.00054435
                     15,                0.31097,                0.95489,                      1,                 0.3748,             0.00053022,             0.00053022,             0.00053022
                     16,                0.24044,                0.91729,                      1,                0.37382,             0.00051608,             0.00051608,             0.00051608
                     17,                0.24946,                0.96992,                      1,                0.35471,             0.00050194,             0.00050194,             0.00050194
                     18,                0.23193,                0.95489,                      1,                0.35849,              0.0004878,              0.0004878,              0.0004878
                     19,                0.19082,                0.94737,                      1,                0.37031,             0.00047367,             0.00047367,             0.00047367
                     20,                0.20854,                0.94737,                      1,                0.37393,             0.00045953,             0.00045953,             0.00045953
                     21,                0.19592,                0.96241,                      1,                 0.3663,             0.00044539,             0.00044539,             0.00044539
                     22,                0.20154,                0.91729,                      1,                0.37176,             0.00043126,             0.00043126,             0.00043126
                     23,                0.23904,                0.94737,                      1,                0.36021,             0.00041712,             0.00041712,             0.00041712
                     24,                0.19304,                0.93985,                      1,                0.36236,             0.00040298,             0.00040298,             0.00040298
                     25,                0.20718,                0.96241,                      1,                0.34755,             0.00038884,             0.00038884,             0.00038884
                     26,                0.17404,                0.96992,                      1,                0.36049,             0.00037471,             0.00037471,             0.00037471
                     27,                0.20935,                0.96992,                      1,                 0.3583,             0.00036057,             0.00036057,             0.00036057
                     28,                0.18514,                0.94737,                      1,                0.35772,             0.00034643,             0.00034643,             0.00034643
                     29,                0.14103,                0.94737,                      1,                0.35807,              0.0003323,              0.0003323,              0.0003323
                     30,                 0.1564,                0.94737,                      1,                 0.3602,             0.00031816,             0.00031816,             0.00031816
                     31,                0.16414,                0.96241,                      1,                0.36351,             0.00030402,             0.00030402,             0.00030402
                     32,                0.16643,                0.95489,                      1,                 0.3814,             0.00028988,             0.00028988,             0.00028988
                     33,                0.16907,                0.96992,                      1,                0.35322,             0.00027575,             0.00027575,             0.00027575
                     34,                0.19044,                0.97744,                      1,                0.35035,             0.00026161,             0.00026161,             0.00026161
                     35,                0.18562,                0.97744,                      1,                0.34939,             0.00024747,             0.00024747,             0.00024747
                     36,                0.14561,                0.98496,                      1,                0.35333,             0.00023334,             0.00023334,             0.00023334
                     37,                0.17181,                0.98496,                      1,                0.34674,              0.0002192,              0.0002192,              0.0002192
                     38,                0.13509,                0.96241,                      1,                0.36321,             0.00020506,             0.00020506,             0.00020506
                     39,                0.14184,                0.97744,                      1,                0.35389,             0.00019092,             0.00019092,             0.00019092
                     40,                0.14864,                0.97744,                      1,                0.39686,             0.00017679,             0.00017679,             0.00017679
                     41,                0.14868,                0.97744,                      1,                0.35366,             0.00016265,             0.00016265,             0.00016265
                     42,                0.11475,                0.96241,                      1,                0.35354,             0.00014851,             0.00014851,             0.00014851
                     43,                0.15683,                0.96241,                      1,                0.35496,             0.00013437,             0.00013437,             0.00013437
                     44,                0.12037,                0.95489,                      1,                0.36585,             0.00012024,             0.00012024,             0.00012024
                     45,                0.13334,                0.97744,                      1,                0.35475,              0.0001061,              0.0001061,              0.0001061
                     46,                 0.1058,                0.96241,                      1,                0.36443,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.13261,                0.95489,                      1,                0.36112,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.12772,                0.96992,                      1,                0.35269,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.15335,                0.96992,                      1,                0.35398,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.11235,                0.97744,                      1,                0.35084,             3.5414e-05,             3.5414e-05,             3.5414e-05
