                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.58772,                  0.825,                 0.9875,                 1.7124,             0.00029695,             0.00029695,             0.00029695
                     62,                0.61747,                  0.825,                 0.9875,                 1.6893,             0.00028988,             0.00028988,             0.00028988
                     63,                0.53476,                  0.825,                 0.9875,                 1.7157,             0.00028282,             0.00028282,             0.00028282
                     64,                0.57941,                  0.825,                      1,                 1.7279,             0.00027575,             0.00027575,             0.00027575
                     65,                0.50067,                  0.825,                      1,                 1.7158,             0.00026868,             0.00026868,             0.00026868
                     66,                0.52663,                  0.825,                      1,                 1.6965,             0.00026161,             0.00026161,             0.00026161
                     67,                0.43856,                  0.825,                 0.9875,                 1.7397,             0.00025454,             0.00025454,             0.00025454
                     68,                 0.6508,                  0.825,                      1,                 1.7339,             0.00024747,             0.00024747,             0.00024747
                     69,                0.46006,                  0.825,                      1,                 1.6879,              0.0002404,              0.0002404,              0.0002404
                     70,                0.44702,                  0.825,                      1,                 1.7256,             0.00023334,             0.00023334,             0.00023334
                     71,                0.52544,                 0.8375,                      1,                 1.7302,             0.00022627,             0.00022627,             0.00022627
                     72,                 0.4859,                  0.825,                      1,                 1.7223,              0.0002192,              0.0002192,              0.0002192
                     73,                0.49735,                  0.825,                      1,                 1.7162,             0.00021213,             0.00021213,             0.00021213
                     74,                 0.5166,                  0.825,                      1,                 1.6872,             0.00020506,             0.00020506,             0.00020506
                     75,                 0.5104,                 0.8375,                      1,                 1.7153,             0.00019799,             0.00019799,             0.00019799
                     76,                0.42104,                   0.85,                      1,                 1.6835,             0.00019092,             0.00019092,             0.00019092
                     77,                0.37146,                   0.85,                      1,                 1.6932,             0.00018385,             0.00018385,             0.00018385
                     78,                 0.6316,                 0.8375,                 0.9875,                 1.7043,             0.00017679,             0.00017679,             0.00017679
                     79,                0.36527,                 0.8375,                      1,                 1.6905,             0.00016972,             0.00016972,             0.00016972
                     80,                0.40374,                 0.8375,                      1,                 1.7068,             0.00016265,             0.00016265,             0.00016265
                     81,                0.40449,                 0.8375,                      1,                 1.6831,             0.00015558,             0.00015558,             0.00015558
                     82,                0.34237,                 0.8375,                      1,                 1.7145,             0.00014851,             0.00014851,             0.00014851
                     83,                0.48022,                 0.8375,                      1,                 1.6879,             0.00014144,             0.00014144,             0.00014144
                     84,                0.59518,                   0.85,                      1,                 1.6875,             0.00013437,             0.00013437,             0.00013437
                     85,                0.39712,                   0.85,                      1,                 1.7059,             0.00012731,             0.00012731,             0.00012731
                     86,                0.27498,                 0.8625,                 0.9875,                 1.7015,             0.00012024,             0.00012024,             0.00012024
                     87,                0.53451,                 0.8375,                      1,                 1.7073,             0.00011317,             0.00011317,             0.00011317
                     88,                0.35947,                   0.85,                      1,                 1.6979,              0.0001061,              0.0001061,              0.0001061
                     89,                0.54543,                   0.85,                      1,                 1.6988,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 0.5452,                  0.825,                      1,                 1.6819,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.38275,                   0.85,                      1,                 1.6859,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.44982,                   0.85,                 0.9875,                  1.677,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.54422,                 0.8375,                 0.9875,                 1.6851,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.55093,                   0.85,                      1,                 1.6858,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.37793,                  0.825,                      1,                  1.735,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.38424,                 0.8375,                 0.9875,                 1.6805,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.32276,                 0.8375,                      1,                  1.709,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.40861,                 0.8375,                      1,                 1.6881,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.37672,                 0.8375,                      1,                 1.6704,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.38199,                   0.85,                      1,                 1.6805,             2.1277e-05,             2.1277e-05,             2.1277e-05
