                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73692,                0.77364,                      1,                0.57125,              0.0002319,              0.0002319,              0.0002319
                      2,                0.62663,                0.80423,                      1,                0.56468,             0.00046059,             0.00046059,             0.00046059
                      3,                0.54541,                0.85984,                      1,                0.51601,             0.00067986,             0.00067986,             0.00067986
                      4,                0.51405,                 0.9277,                      1,                0.44582,             0.00067159,             0.00067159,             0.00067159
                      5,                0.47531,                0.84705,                      1,                 0.5135,             0.00067159,             0.00067159,             0.00067159
                      6,                0.48502,                0.97052,                      1,                0.40597,             0.00065745,             0.00065745,             0.00065745
                      7,                0.40989,                0.92102,                      1,                0.46966,             0.00064331,             0.00064331,             0.00064331
                      8,                0.44422,                0.94049,                      1,                0.43105,             0.00062918,             0.00062918,             0.00062918
                      9,                0.38824,                0.98665,                      1,                0.35915,             0.00061504,             0.00061504,             0.00061504
                     10,                0.38414,                0.98888,                      1,                0.33827,              0.0006009,              0.0006009,              0.0006009
                     11,                0.38143,                0.98832,                      1,                0.35098,             0.00058677,             0.00058677,             0.00058677
                     12,                0.38777,                0.98443,                      1,                0.35457,             0.00057263,             0.00057263,             0.00057263
                     13,                0.30262,                0.98776,                      1,                0.34488,             0.00055849,             0.00055849,             0.00055849
                     14,                0.28028,                0.99055,                      1,                0.33416,             0.00054435,             0.00054435,             0.00054435
                     15,                0.34026,                0.98888,                      1,                0.33228,             0.00053022,             0.00053022,             0.00053022
                     16,                0.26886,                0.98387,                      1,                0.33996,             0.00051608,             0.00051608,             0.00051608
                     17,                0.29159,                0.95829,                      1,                0.36902,             0.00050194,             0.00050194,             0.00050194
                     18,                0.32914,                0.95384,                      1,                0.38097,              0.0004878,              0.0004878,              0.0004878
                     19,                0.25631,                0.97386,                      1,                0.34976,             0.00047367,             0.00047367,             0.00047367
                     20,                0.27028,                0.96162,                      1,                0.36366,             0.00045953,             0.00045953,             0.00045953
                     21,                0.25238,                0.98165,                      1,                0.34517,             0.00044539,             0.00044539,             0.00044539
                     22,                0.27363,                0.97998,                      1,                0.34947,             0.00043126,             0.00043126,             0.00043126
                     23,                0.24749,                0.96607,                      1,                0.35667,             0.00041712,             0.00041712,             0.00041712
                     24,                0.25494,                0.96997,                      1,                 0.3486,             0.00040298,             0.00040298,             0.00040298
                     25,                0.27332,                0.97386,                      1,                0.34868,             0.00038884,             0.00038884,             0.00038884
                     26,                0.21242,                0.96885,                      1,                0.35586,             0.00037471,             0.00037471,             0.00037471
                     27,                  0.223,                 0.9594,                      1,                0.36046,             0.00036057,             0.00036057,             0.00036057
                     28,                0.23245,                0.94716,                      1,                0.37009,             0.00034643,             0.00034643,             0.00034643
                     29,                0.22717,                0.96885,                      1,                0.35255,              0.0003323,              0.0003323,              0.0003323
                     30,                 0.2208,                0.96774,                      1,                0.35039,             0.00031816,             0.00031816,             0.00031816
                     31,                0.23641,                0.97775,                      1,                0.34523,             0.00030402,             0.00030402,             0.00030402
                     32,                0.21056,                0.96663,                      1,                0.35482,             0.00028988,             0.00028988,             0.00028988
                     33,                0.19288,                0.96663,                      1,                0.35136,             0.00027575,             0.00027575,             0.00027575
                     34,                 0.2301,                0.97219,                      1,                0.34849,             0.00026161,             0.00026161,             0.00026161
                     35,                0.18255,                0.96274,                      1,                0.35816,             0.00024747,             0.00024747,             0.00024747
                     36,                0.21794,                0.97219,                      1,                0.34715,             0.00023334,             0.00023334,             0.00023334
                     37,                0.21002,                0.97664,                      1,                0.34185,              0.0002192,              0.0002192,              0.0002192
                     38,                 0.1709,                0.97052,                      1,                0.34736,             0.00020506,             0.00020506,             0.00020506
                     39,                0.21248,                0.98109,                      1,                0.33657,             0.00019092,             0.00019092,             0.00019092
                     40,                0.20922,                0.97052,                      1,                0.34896,             0.00017679,             0.00017679,             0.00017679
                     41,                0.18912,                0.96885,                      1,                0.34892,             0.00016265,             0.00016265,             0.00016265
                     42,                0.16459,                0.97275,                      1,                0.34412,             0.00014851,             0.00014851,             0.00014851
                     43,                0.19307,                0.97164,                      1,                0.34638,             0.00013437,             0.00013437,             0.00013437
                     44,                0.17316,                0.97442,                      1,                0.34291,             0.00012024,             0.00012024,             0.00012024
                     45,                0.19101,                0.96663,                      1,                0.35017,              0.0001061,              0.0001061,              0.0001061
                     46,                0.18369,                0.97164,                      1,                0.34633,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 0.1818,                0.97553,                      1,                0.34433,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.17211,                0.96607,                      1,                0.35159,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.16737,                0.96885,                      1,                0.35088,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.17524,                0.96941,                      1,                0.34735,             3.5414e-05,             3.5414e-05,             3.5414e-05
