                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83223,                0.38346,                      1,                0.81307,              0.0002319,              0.0002319,              0.0002319
                      2,                0.71255,                0.54135,                      1,                0.69397,             0.00045827,             0.00045827,             0.00045827
                      3,                0.65372,                0.56391,                      1,                0.68734,             0.00067286,             0.00067286,             0.00067286
                      4,                0.67645,                 0.4812,                      1,                0.71528,             0.00066099,             0.00066099,             0.00066099
                      5,                0.60595,                0.71429,                      1,                0.58776,             0.00066099,             0.00066099,             0.00066099
                      6,                 0.5943,                0.65414,                      1,                0.61285,             0.00064331,             0.00064331,             0.00064331
                      7,                0.59809,                0.65414,                      1,                0.57619,             0.00062564,             0.00062564,             0.00062564
                      8,                0.57919,                0.58647,                      1,                0.65468,             0.00060797,             0.00060797,             0.00060797
                      9,                0.56595,                0.54135,                      1,                0.64643,              0.0005903,              0.0005903,              0.0005903
                     10,                0.56976,                0.75188,                      1,                0.55463,             0.00057263,             0.00057263,             0.00057263
                     11,                0.56851,                0.75188,                      1,                0.57377,             0.00055496,             0.00055496,             0.00055496
                     12,                0.51149,                0.51128,                      1,                0.64615,             0.00053728,             0.00053728,             0.00053728
                     13,                0.55763,                0.48872,                      1,                0.71334,             0.00051961,             0.00051961,             0.00051961
                     14,                0.52126,                 0.7594,                      1,                0.57367,             0.00050194,             0.00050194,             0.00050194
                     15,                0.54269,                0.82707,                      1,                0.50789,             0.00048427,             0.00048427,             0.00048427
                     16,                0.49833,                0.74436,                      1,                0.54627,              0.0004666,              0.0004666,              0.0004666
                     17,                0.50108,                0.78947,                      1,                0.50989,             0.00044893,             0.00044893,             0.00044893
                     18,                0.53451,                0.77444,                      1,                0.57965,             0.00043126,             0.00043126,             0.00043126
                     19,                0.49387,                0.78947,                      1,                0.53928,             0.00041358,             0.00041358,             0.00041358
                     20,                0.47788,                0.81955,                      1,                0.56898,             0.00039591,             0.00039591,             0.00039591
                     21,                 0.4851,                0.78195,                      1,                0.56906,             0.00037824,             0.00037824,             0.00037824
                     22,                 0.4978,                0.81955,                      1,                0.47743,             0.00036057,             0.00036057,             0.00036057
                     23,                0.47117,                0.89474,                      1,                 0.4684,              0.0003429,              0.0003429,              0.0003429
                     24,                0.47824,                0.89474,                      1,                0.50621,             0.00032523,             0.00032523,             0.00032523
                     25,                0.49071,                0.85714,                      1,                0.51842,             0.00030756,             0.00030756,             0.00030756
                     26,                0.42117,                0.81955,                      1,                0.50427,             0.00028988,             0.00028988,             0.00028988
                     27,                0.45642,                0.87218,                      1,                0.44913,             0.00027221,             0.00027221,             0.00027221
                     28,                 0.4394,                 0.8797,                      1,                0.46326,             0.00025454,             0.00025454,             0.00025454
                     29,                0.43298,                0.88722,                      1,                0.47355,             0.00023687,             0.00023687,             0.00023687
                     30,                0.45072,                 0.8797,                      1,                0.45852,              0.0002192,              0.0002192,              0.0002192
                     31,                0.43385,                0.90226,                      1,                0.45967,             0.00020153,             0.00020153,             0.00020153
                     32,                0.42948,                0.89474,                      1,                0.45833,             0.00018385,             0.00018385,             0.00018385
                     33,                0.46472,                0.87218,                      1,                0.49015,             0.00016618,             0.00016618,             0.00016618
                     34,                0.45725,                0.82707,                      1,                0.49887,             0.00014851,             0.00014851,             0.00014851
                     35,                0.45446,                0.81955,                      1,                0.51439,             0.00013084,             0.00013084,             0.00013084
                     36,                0.45939,                0.83459,                      1,                0.51714,             0.00011317,             0.00011317,             0.00011317
                     37,                0.48572,                0.81955,                      1,                0.51849,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     38,                0.42371,                0.82707,                      1,                0.53961,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     39,                0.45853,                0.81203,                      1,                0.50735,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     40,                0.46035,                0.80451,                      1,                0.55417,             4.2483e-05,             4.2483e-05,             4.2483e-05
